*PROP																		
*ID	VersionMin	DefaultValue	Arg1Bits	Base1	Min1	Max1	Arg2Bits	Base2	Min2	Max2	Arg3Bits	Base3	Min3	Max3	Arg4Bits	Base4	Min4	Max4
54			8				9				8							
54	0x01000063		10				10				8							
54	0x03000063		11				11				11							
54	0x07000063		11				13				8							
55			9															
56			8															
57			10				10				9							
57	0x03000063		11				11				11							
57	0x07000063		16				17				9							
58			10															
59			9															
60			7															
60	0x03000063		11															
61																		
62			7															
63																		
64																		
65																		
66																		
67			7	-30														
68			7	-30														
69																		
70																		
71			8	-100														
72			9															
73			8															
74			6	-30														
74	0x03000063		16	-30														
75			7	-20														
76			6	-10														
77			6	-10														
78			7															
79			9	-100														
80			8	-100														
81			7															
82			9	-20														
83			3				3											
83	0x01000063		3				4											
84			0															
85			9	-50														
86			7															
86	0x07000063		8															
87			7															
88			1															
89			4	-4														
90			24															
91			8	-100														
92			7															
93			7	-20														
94			7	-64														
95																		
96			7	-20														
96	0x01000063		8	-20														
97		6	9				6											
98			8				1											
99			7	-20														
99	0x01000063		8	-20														
100																		
101																		
102			7	-20														
103																		
104																		
105			7	-20														
106																		
107		6	9		6		3											
107	0x01000063	6	9		6		4											
108			1															
109			9															
110			8	-20														
111			9	-20														
111	0x01000063		10	-20														
111	0x03000063		11	-20														
112			7	1														
113			7															
114			6															
114	0x07000063		10															
115			1															
116			7															
117			7															
118			1															
119			9	-20														
120			7	-128														
121			9	-20														
122			9	-20														
123			10	-128														
124			10	-128														
125			1															
126			3				3											
127			3															
127	0x01000063		4															
128			5															
129																		
130																		
131																		
132																		
133																		
134			5															
135			7															
136			7															
137			7															
138			7															
139			7															
140			7															
141			7															
141	0x03000063		8															
142			7															
143			7															
144			7															
145			7															
146			7															
147			7															
148			7															
149			7															
150			7															
151		98	9				5											
151	0x03000063	98	11				5											
151	0x06000063	98	16				7											
152			1															
153			1															
154			7	-20														
155			10				7											
156			7															
157			7															
158			7															
159			6															
159	0x05000063		8															
159	0x06000063		8															
159	0x07000063		8															
160			7															
160	0x05000063		8															
160	0x06000063		9															
160	0x07000063		8															
161																		
162																		
163																		
164																		
165																		
166																		
167																		
168																		
169																		
170																		
171																		
172																		
173																		
174																		
175																		
176																		
177																		
178																		
179			10				9											
180			10				9											
181			3															
182																		
183																		
184																		
185																		
186																		
187		300	10															
188			3			2	13				3							
189		300	10															
190		300	10															
191		300	10															
192		300	10															
193		300	10															
194			4			6												
195		384	6				10				7							
195	0x01000063	384	6				10				8							
195	0x05000063	384	6				12				8							
195	0x07000063	384	6				12				8							
196		384	6				10				7							
196	0x01000063	384	6				10				8							
196	0x03000063	384	6				12				8							
196	0x05000063	384	6				12				8							
196	0x07000063	384	6				12				8							
197		384	6				10				7							
197	0x01000063	384	6				10				8							
197	0x05000063	384	6				12				8							
197	0x07000063	384	6				12				8							
198		384	6				10				7							
198	0x01000063	384	6				10				8							
198	0x05000063	384	6				12				8							
198	0x07000063	384	6				12				8							
199		384	6				10				7							
199	0x01000063	384	6				10				8							
199	0x05000063	384	6				12				8							
199	0x07000063	384	6				12				8							
200			7															
201		384	6				10				7							
201	0x01000063	384	6				10				8							
201	0x05000063	384	6				12				8							
201	0x07000063	384	6				12				8							
202																		
203																		
204		384	6				10				8				8			
205			7															
205	0x07000063		8															
206																		
207																		
208																		
209																		
210																		
211																		
212																		
213																		
214			6															
215			6															
216			6															
217			6															
218			6															
219			6															
220			6															
221			6															
222			6															
223			6															
224			6															
225			6															
226			6															
227			6															
228			6															
229			6															
230			6															
231			6															
232			6															
233			6															
234			6															
235			6															
236			6															
237			6															
238			5															
239			6															
240			6															
241			6															
242			6															
243			6															
244			6															
245			6															
246			6															
247			6															
248			6															
249			6															
250			6															
251																		
252		1	6		1													
253		1	6		1													
254			8															
255																		
256																		
257																		
258																		
259																		
260																		
261																		
262																		
263																		
264																		
265																		
266																		
267																		
268			2				10	-256			10	-256						
269			2				10	-256			10	-256						
270			2				10	-256			10	-256						
271			2				10	-256			10	-256						
272			2				10	-256			10	-256						
273			2				10	-256			10	-256						
274			2				10	-256			10	-256						
275			2				10	-256			10	-256						
276			2				10	-256			10	-256						
277			2				10	-256			10	-256						
278			2				10	-256			10	-256						
279			2				10	-256			10	-256						
280			2				10	-256			10	-256						
281			2				10	-256			10	-256						
282			2				10	-256			10	-256						
283			2				10	-256			10	-256						
284			2				10	-256			10	-256						
285			2				10	-256			10	-256						
286			2				10	-256			10	-256						
287			2				10	-256			10	-256						
288			2				10	-256			10	-256						
289			2				10	-256			10	-256						
290			2				10	-256			10	-256						
291			2				10	-256			10	-256						
292			2				10	-256			10	-256						
293			2				10	-256			10	-256						
294			2				10	-256			10	-256						
295			2				10	-256			10	-256						
296			2				10	-256			10	-256						
297			2				10	-256			10	-256						
298			2				10	-256			10	-256						
299			2				10	-256			10	-256						
300			2				10	-256			10	-256						
301			2				10	-256			10	-256						
302			2				10	-256			10	-256						
303			2				10	-256			10	-256						
304																		
305			8	-50														
306			8	-50														
307			8	-50														
308			8	-50														
309																		
310																		
311																		
312																		
313																		
314																		
315																		
316																		
317																		
318																		
319																		
320																		
321																		
322																		
323																		
324			6															
325																		
326																		
327																		
328																		
329			9	-50														
330			9	-50														
331			9	-50														
332			9	-50														
333			8															
334			8															
335			8															
336			8															
337			8															
338			7															
339			7															
340			7															
341			8															
342			8															
343			8															
344			8															
345			8															
346			8															
347			8															
348			8															
349			8															
350																		
351																		
352																		
353																		
354																		
355																		
356			2															
357			9	-50														
358			8															
359																		
360																		
361																		
362																		
363																		
364																		
365																		
366																		
367																		
368																		
369																		
370																		
371																		
372																		
373																		
374																		
375																		
376																		
377																		
378																		
379																		
380																		
381																		
382																		
383																		
384																		
385																		
386																		
387																		
388																		
389																		
390																		
391																		
392																		
393																		
394																		
395																		
396																		
397																		
398																		
399																		
400																		
401																		
402																		
403																		
404																		
405																		
406																		
407																		
408																		
409																		
410																		
411																		
412																		
413																		
414																		
415																		
416																		
417																		
418																		
419																		
420																		
421																		
422																		
423																		
424																		
425																		
426																		
427																		
428																		
429																		
430																		
431																		
432																		
433																		
434																		
435																		
436																		
437																		
438																		
439																		
440																		
441																		
442																		
443																		
444																		
445																		
446																		
447																		
448																		
449																		
450																		
451																		
452																		
453																		
454																		
455																		
456																		
457																		
458																		
459																		
460																		
461																		
462																		
463																		
464			11															
